progress,loss,accuracy
5.94,1.0204,0.58
5.95,0.7409,0.56
5.96,0.8388,0.53
5.97,0.8603,0.59
5.98,1.0048,0.6
5.99,0.974,0.54
6.0,0.7199,0.53
6.01,0.7199,0.57
6.02,0.6759,0.56
6.03,0.8719,0.56
6.04,0.7503,0.55
6.04,0.6928,0.57
6.05,0.6928,0.53
6.06,0.7191,0.6
6.07,0.7191,0.56
6.08,0.5351,0.55
6.09,1.0314,0.58
6.1,1.0441,0.53
6.11,1.2002,0.54
6.12,1.0679,0.56
6.13,1.1281,0.58
6.14,0.8969,0.53
6.15,1.114,0.56
6.16,0.9491,0.53
6.17,1.2194,0.56
6.17,1.2499,0.56
6.18,1.3334,0.59
6.19,1.3334,0.55
6.2,1.2958,0.55
6.21,1.3093,0.51
6.22,0.9026,0.51
6.23,1.3601,0.54
6.24,1.1498,0.56
6.25,1.1498,0.56
6.26,1.088,0.56
6.27,1.072,0.55
6.28,0.9077,0.56
6.29,0.9077,0.57
6.29,1.0814,0.58
6.3,1.0937,0.6
6.31,1.0937,0.56
6.32,1.3001,0.56
6.33,1.0628,0.56
6.34,1.0955,0.56
6.35,1.0628,0.58
6.36,0.9495,0.56
6.37,1.1541,0.56
6.38,1.2482,0.56
6.39,1.2482,0.59
6.4,1.2482,0.56
6.41,1.3832,0.55
6.42,1.3832,0.54
6.42,1.3037,0.58
6.43,1.0978,0.57
6.44,1.2084,0.55
6.45,1.2084,0.58
6.46,0.9988,0.57
6.47,1.1892,0.54
6.48,1.0277,0.56
6.49,1.048,0.6
6.5,0.9816,0.58
6.51,0.8244,0.58
6.52,0.7754,0.55
6.53,1.0361,0.58
6.54,1.0993,0.55
6.54,1.1349,0.56
6.55,1.3989,0.59
6.56,1.179,0.56
6.57,1.1717,0.51
6.58,0.8478,0.6
6.59,0.6184,0.54
6.6,0.6184,0.58
6.61,0.6138,0.55
6.62,0.82,0.58
6.63,1.1658,0.59
6.64,1.1658,0.55
6.65,1.3233,0.55
6.66,0.77,0.58
6.67,1.2422,0.58
6.67,1.2629,0.57
6.68,1.2747,0.57
6.69,1.3764,0.56
6.7,1.3764,0.56
6.71,1.8666,0.55
6.72,1.3008,0.56
6.73,1.2208,0.56
6.74,1.0669,0.56
6.75,0.7461,0.58
6.76,0.8356,0.58
6.77,0.8356,0.53
6.78,1.031,0.53
6.79,1.3295,0.56
6.79,1.203,0.55
6.8,1.3584,0.55
6.81,1.385,0.51
6.82,1.4896,0.58
6.83,1.3095,0.59
6.84,1.4896,0.58
6.85,1.5153,0.59
6.86,0.9883,0.54
6.87,1.1314,0.57
6.88,1.541,0.55
6.89,1.4981,0.56
6.9,1.4172,0.56
6.91,1.3418,0.58
6.92,1.2754,0.54
6.92,1.2754,0.56
6.93,1.2754,0.51
6.94,1.3243,0.53
6.95,1.0948,0.53
6.96,0.8954,0.56
6.97,0.8954,0.61
6.98,0.8954,0.58
6.99,1.028,0.62
7.0,1.1462,0.54
7.01,1.3134,0.58
7.02,1.3134,0.6
7.03,0.7844,0.59
7.04,0.6146,0.56
7.04,0.872,0.58
7.05,0.8911,0.57
7.06,0.8911,0.56
7.07,1.2662,0.56
7.08,0.9692,0.58
7.09,0.9639,0.56
7.1,0.9639,0.55
7.11,0.9639,0.53
7.12,0.9197,0.56
7.13,0.9602,0.54
7.14,0.9602,0.56
7.15,1.0405,0.54
7.16,1.0208,0.58
7.17,1.0156,0.55
7.17,1.0892,0.6
7.18,1.1362,0.58
7.19,1.0532,0.56
7.2,1.117,0.59
7.21,0.8408,0.58
7.22,1.2078,0.58
7.23,1.3842,0.57
7.24,1.3511,0.56
7.25,1.1297,0.54
7.26,1.118,0.57
7.27,1.0436,0.58
