progress,loss,accuracy
3.07,0.0,0.88
3.08,0.0,0.86
3.09,0.0001,0.9
3.1,0.0,0.88
3.11,0.0,0.89
3.12,0.0,0.88
3.13,0.0001,0.88
3.14,0.0002,0.89
3.15,0.0006,0.88
3.16,0.0,0.89
3.17,0.0,0.89
3.17,0.0,0.86
3.18,0.0,0.9
3.19,0.0,0.89
3.2,0.0,0.9
3.21,0.0,0.89
3.22,0.0,0.85
3.23,0.0002,0.86
3.24,0.0005,0.88
3.25,0.0003,0.89
3.26,0.0003,0.86
3.27,0.0003,0.86
3.28,0.0003,0.89
3.29,0.0001,0.88
3.29,0.0,0.9
3.3,0.0,0.89
3.31,0.0,0.88
3.32,0.0,0.86
3.33,0.0,0.89
3.34,0.0,0.85
3.35,0.0,0.85
3.36,0.0,0.88
3.37,0.0,0.88
3.38,0.0,0.86
3.39,0.0,0.89
3.4,0.0003,0.89
3.41,0.0001,0.89
3.42,0.0003,0.9
3.42,0.0001,0.88
3.43,0.0,0.9
3.44,0.0,0.89
3.45,0.0,0.88
3.46,0.0,0.88
3.47,0.0,0.92
3.48,0.0,0.88
3.49,0.0,0.88
3.5,0.0,0.89
3.51,0.0,0.85
3.52,0.0,0.9
3.53,0.0,0.9
3.54,0.0,0.88
3.54,0.0,0.89
3.55,0.0,0.9
3.56,0.0,0.85
3.57,0.0,0.9
3.58,0.0,0.88
3.59,0.0,0.89
3.6,0.0,0.9
3.61,0.0,0.89
3.62,0.0,0.9
3.63,0.0001,0.9
3.64,0.0001,0.9
3.65,0.0001,0.89
3.66,0.0001,0.92
3.67,0.0001,0.89
3.67,0.0001,0.9
3.68,0.0,0.89
3.69,0.0,0.89
3.7,0.0,0.92
3.71,0.0,0.88
3.72,0.0003,0.89
3.73,0.0,0.92
3.74,0.0,0.92
3.75,0.0,0.89
3.76,0.0,0.92
3.77,0.0,0.9
3.78,0.0,0.92
3.79,0.0001,0.92
3.79,0.0,0.89
3.8,0.0002,0.9
3.81,0.0,0.89
3.82,0.0001,0.92
3.83,0.0001,0.9
3.84,0.0,0.89
3.85,0.0,0.88
3.86,0.0,0.9
3.87,0.0,0.96
3.88,0.0,0.9
3.89,0.0001,0.9
3.9,0.0001,0.89
3.91,0.0005,0.92
3.92,0.0001,0.92
3.92,0.0001,0.92
3.93,0.0,0.89
3.94,0.0,0.92
3.95,0.0,0.92
3.96,0.0,0.88
3.97,0.0,0.9
3.98,0.0,0.9
3.99,0.0,0.86
4.0,0.0,0.89
4.01,0.0,0.89
4.02,0.0,0.89
4.03,0.0,0.92
4.04,0.0,0.89
4.04,0.0,0.89
4.05,0.0,0.92
4.06,0.0,0.92
4.07,0.0,0.94
4.08,0.0,0.92
4.09,0.0,0.94
4.1,0.0,0.9
4.11,0.0,0.9
4.12,0.0,0.9
4.13,0.0,0.93
4.14,0.0,0.93
4.15,0.0006,0.9
4.16,0.0001,0.93
4.17,0.0002,0.93
4.17,0.0001,0.92
4.18,0.0,0.92
4.19,0.0,0.94
4.2,0.0,0.92
4.21,0.0001,0.92
4.22,0.0003,0.93
4.23,0.0,0.9
4.24,0.0,0.93
4.25,0.0,0.92
4.26,0.0001,0.9
4.27,0.0,0.92
4.28,0.0,0.94
4.29,0.0,0.92
4.29,0.0,0.93
4.3,0.0,0.94
4.31,0.0001,0.92
4.32,0.0003,0.9
4.33,0.0,0.92
4.34,0.0,0.92
4.35,0.0,0.92
4.36,0.0,0.9
4.37,0.0,0.9
4.38,0.0,0.94
4.39,0.0,0.93
4.4,0.0001,0.92
4.41,0.0006,0.92
4.42,0.0,0.93
4.42,0.0,0.92
4.43,0.0,0.93
4.44,0.0,0.93
4.45,0.0,0.92
4.46,0.0,0.9
4.47,0.0,0.9
4.48,0.0,0.93
4.49,0.0,0.92
4.5,0.0002,0.93
4.51,0.0,0.94
4.52,0.0,0.94
4.53,0.0,0.96
4.54,0.0,0.94
4.54,0.0,0.93
4.55,0.0001,0.92
4.56,0.0027,0.93
4.57,0.0001,0.96
4.58,0.0001,0.94
4.59,0.0001,0.96
4.6,0.0001,0.94
4.61,0.0,0.93
4.62,0.0,0.94
4.63,0.0,0.92
4.64,0.0,0.94
4.65,0.0,0.93
4.66,0.0,0.93
4.67,0.0,0.93
4.67,0.0,0.93
4.68,0.0,0.96
4.69,0.0,0.94
4.7,0.0001,0.94
4.71,0.0,0.93
4.72,0.0,0.94
4.73,0.0,0.93
4.74,0.0,0.96
4.75,0.0,0.92
4.76,0.0,0.93
4.77,0.0,0.96
4.78,0.0,0.93
4.79,0.0,0.9
4.79,0.0,0.94
4.8,0.0,0.94
4.81,0.0,0.94
4.82,0.0,0.94
4.83,0.0,0.93
4.84,0.0,0.93
4.85,0.0,0.93
4.86,0.0,0.96
4.87,0.0,0.92
4.88,0.0,0.92
4.89,0.0,0.93
4.9,0.0,0.94
4.91,0.0,0.96
4.92,0.0,0.92
4.92,0.0,0.93
4.93,0.0,0.96
4.94,0.0,0.93
4.95,0.0,0.93
4.96,0.0,0.93
4.97,0.0,0.96
4.98,0.0,0.93
4.99,0.0,0.93
5.0,0.0,0.93
5.01,0.0,0.9
5.02,0.0,0.93
5.03,0.0,0.94
5.04,0.0001,0.94
5.04,0.0,0.93
5.05,0.0,0.94
5.06,0.0001,0.97
5.07,0.0,0.96
5.08,0.0,0.93
5.09,0.0,0.94
5.1,0.0,0.94
5.11,0.0,0.93
5.12,0.0,0.96
5.13,0.0,0.96
5.14,0.0,0.97
5.15,0.0,0.96
5.16,0.0,0.94
5.17,0.0,0.96
5.17,0.0,0.94
5.18,0.0,0.97
5.19,0.0,0.93
