progress,train_loss,train_accuracy,valid_accuracy,valid_loss
19.79,0.0002,0.96,0.91,0.0055
19.89,0.0002,0.96,0.89,0.0053
19.99,0.0002,0.95,0.91,0.0065
20.1,0.0002,0.95,0.92,0.0044
20.2,0.0002,0.96,0.89,0.0069
20.3,0.0002,0.96,0.92,0.0067
20.4,0.0002,0.96,0.94,0.0049
20.5,0.0002,0.97,0.91,0.0058
20.6,0.0002,0.96,0.89,0.0059
20.69,0.0002,0.96,0.91,0.0058
20.79,0.0002,0.96,0.91,0.0054
20.89,0.0002,0.96,0.91,0.0058
20.99,0.0002,0.96,0.91,0.0045
21.1,0.0002,0.95,0.92,0.0041
21.2,0.0002,0.95,0.92,0.0052
21.3,0.0002,0.96,0.94,0.0045
21.4,0.0002,0.96,0.92,0.0047
21.5,0.0002,0.96,0.92,0.005
21.6,0.0002,0.96,0.92,0.0047
21.69,0.0002,0.97,0.92,0.0047
21.79,0.0002,0.96,0.92,0.0041
21.89,0.0002,0.97,0.92,0.0051
21.99,0.0002,0.97,0.92,0.0039
22.1,0.0002,0.96,0.91,0.0047
22.2,0.0002,0.96,0.95,0.0046
22.3,0.0002,0.96,0.89,0.005
22.4,0.0002,0.97,0.92,0.0042
22.5,0.0002,0.97,0.92,0.004
22.6,0.0002,0.96,0.92,0.0032
22.69,0.0002,0.96,0.91,0.0074
22.79,0.0002,0.97,0.92,0.0056
22.89,0.0002,0.96,0.84,0.0042
22.99,0.0002,0.95,0.92,0.0033
23.1,0.0002,0.95,0.92,0.0037
23.2,0.0002,0.96,0.91,0.0053
23.3,0.0002,0.96,0.94,0.0036
23.4,0.0002,0.97,0.92,0.0034
23.5,0.0002,0.96,0.89,0.0045
23.6,0.0002,0.96,0.86,0.0051
23.69,0.0002,0.97,0.89,0.005
23.79,0.0002,0.97,0.92,0.0051
23.89,0.0001,0.97,0.91,0.0053
23.99,0.0002,0.97,0.92,0.0047
24.1,0.0002,0.97,0.94,0.0049
24.2,0.0002,0.96,0.92,0.0046
24.3,0.0002,0.97,0.92,0.005
24.4,0.0002,0.96,0.92,0.0055
24.5,0.0001,0.97,0.91,0.0067
24.6,0.0002,0.97,0.91,0.004
24.69,0.0002,0.97,0.92,0.0042
24.79,0.0002,0.96,0.89,0.0047
24.89,0.0002,0.97,0.91,0.0042
24.99,0.0002,0.97,0.94,0.0043
